X,Y,FID,Name
-8.704683417964933,53.14136628111752,250,St. Thomas GAA Club
-8.757442784474845,53.305016354245979,251,Raheen Sports Centre
-8.842797992389883,53.51781608500945,252,Cortoon Hall
-8.767470017052839,53.308619065123047,253,Athenry Soccer Club
-8.43778528105112,53.436623167968683,254,Caltra GAA
-8.579606566952762,53.197744179588597,255,Loughrea Tennis Club
-8.856473550084008,53.511912968254784,256,Western Travellers Development
-8.325861073281454,53.523406629720036,257,Mattie McDonagh Center
-8.859621479865037,53.437217225387471,258,Dr. Duggan Hall
-8.405878044678611,53.329000392296862,259,St Gabriels GAA Club
-8.46278376717542,53.692514588232825,260,Ballymoe Development Centre Ltd
-8.622815566942938,53.395827702951337,261,Colemanstown United F.C
-8.446214383318921,53.654798162710208,262,Glinsk Community Centre
-8.623001457446273,53.302460017646219,263,Killimordaly GAA Club
-8.648044535027859,53.55889547140756,264,Clonberne Community Centre
-8.24099245541378,53.338074877270202,265,Derrymullen Ball Alley Club
-8.905257280339802,53.366492563343023,266,Turloughmore Community Centre
-8.49009552484821,53.301480421849213,267,New Inn Leisure Centre
-8.939207916210982,53.337462006765321,268,Clarealway Leisure Centre
-8.993354066543048,53.39754394339959,269,Annaghdown Handball/Raquetball Club
-8.917050504040542,53.271892096301485,270,Oranmore Community Development Association
-9.658565511262335,53.278245740288675,271,Sportlann Mhicil Mor Leitir Mor
-9.084368305494664,53.445903466871059,272,Cloughanove Community Centre
-9.378009079229724,53.378759457631162,273,Petersburg O.E.C.
-8.496251155504313,53.469933570431706,274,Mountbellew Community Development Association
-9.225347756004757,53.387263703864534,275,Killannin Community Centre
-8.635000649746136,53.228387158360171,276,Community Hall Carrabane
-8.291535676328065,53.170882893285217,277,Killimor Leisure & Fitness Centre
-8.569589772877022,53.197406039003113,278,Temperance Hall
-9.278207912992197,53.247716032606213,279,Cumann Luthchleas Gael An Spidéil
-8.301790118300682,53.044172076345589,280,Shragh Community Centre
-8.615469863380408,53.323313304743323,281,Killmordaly Community Hall
-10.017966429579616,53.491483483278351,282,Clifden GAA Club (Naomh Feichin)
-8.452778270045014,53.229937527936301,283,Kilrickle Community Centre
-8.215752641281117,53.093834632669363,284,Portumna Town and Community Hall
-8.759634317690388,53.305910131497519,285,Athenry Handball Alley
-8.735126018776642,53.230373032814732,286,St. Michaels Community Centre
-8.582314952793437,53.676581225210263,287,Williamstown Community Centre
-8.683978290884362,53.342199618374714,288,Newcastle Community Centre
-8.705069936964154,53.373630586056613,289,Fr. Salmon Centre
-8.388920963971508,53.385818640170527,290,Ahasgragh / Fohenagh GAA Pitch
-8.071775955419096,53.224017605156028,291,Clonfert Community Centre
-9.018361863183431,53.490143980643602,292,Caherlistrane GAA Club
-8.22838973938679,53.328699232939826,293,The Emerald - Ballinasloe Community Info Centre
-9.731044132188496,53.13049948669849,294,Old Quarter Community Centre
-8.633794439273499,53.408162946912974,295,Skehana Community Centre
-8.275063149475404,53.235521924003329,296,Kiltormer GAA Complex
-8.317270692704303,53.303835651742489,297,St. Catherines Hall
-9.205475815219437,53.248869230852002,298,Furbo Community Centre
-8.241601880541465,53.273178443568895,299,Clontuskert Community Pitch
-8.404536223246657,53.329984609197858,300,Kilconnell Hall
-8.814347045776364,53.059086813882999,301,Gort Community Centre
-9.672015129662716,53.110526177196029,302,Halla Ronan
-8.918714757832257,53.27189726414673,303,Oranmore Community Centre
-9.794493073317572,53.414569591840205,304,Comhairle Muintir an Chaisil Teo
-9.94755743823557,53.552773728556652,305,Connemara West Plc
-9.364381349092721,53.54329725548908,306,Aras Pobal Naomh Padraig
-9.963933514222084,53.590552655696577,307,Renvyle Sports & Social Company Ltd
-8.397287476636539,53.223502841620331,308,Mullagh Community & GAA Centre
-8.473988991213593,53.174565599812176,309,Leitrim Ballydugan Hall
-9.543566965604208,53.250057752735252,310,Comhacht Forbartha  An Spidéíl Teo
-10.150920930327564,53.543634282602042,311,Claddaghduff Community Hall
-10.212656830090717,53.614155229413186,312,Inishboffin Community Centre
-9.917707006550636,53.394866199595469,313,Roundstone Community Centre
-9.73475201106009,53.327270588195532,314,Aonad Pobail Cill Chiarain
-9.731546303434948,53.241767600204533,315,Comhar Chuigéal Teo
-9.4586833351912,53.51070088475543,316,Coiste Forbartha Chor na Mona
-9.597139292336577,53.265287733648705,317,Halla Einne
-8.949560572789697,53.232254855187058,318,Maree Community Development Association
-8.879100711395299,53.229299188938292,319,Clarenbridge Parish Hall
-8.993398984961265,53.3975345835238,320,Corrandulla Community Hall
-9.662599674734386,53.275160529073553,321,Community Hall Tir an Fhiadh
-8.723826162765548,53.481766880609769,322,Barnadearg Community Hall
-8.851734399503307,53.51617070279314,323,Tuam Scout Hall
-8.499116697841194,53.471539201302704,324,Mountbellew Community Centre
-8.577412868295626,53.421740653885344,325,Menlough Community Hall
-9.109585582206433,53.469083636083695,326,St. Fursas Community Hall Headford
-8.938155211108908,53.491860912019085,327,Belclare Community Hall
-9.532760163471121,53.275570205414624,328,Ionad Pobail Chois Cuan
-8.677719447252173,53.376485108312288,329,Monivea Forest Park
-9.431027193076941,53.484620854183298,330,Derroura Bike Park
-8.24089151858834,53.082570266000026,331,Portumna Forest Park
